CODIGO,CAT,NOMBRE,MUNICIPIO,DEPARTAMENTO,ELEV,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
27015110,CO,Aragon,Santa Rosa de Osos,Antioquia,2600,"75°49'37.2""W","6°32'2.4""N",9,11,15,20,23,20,20,20,21,24,20,14,218
27010880,PM,Montanitas,Santa Rosa de Osos,Antioquia,2630,"75°23'32.0""W","6°42'10.3""N",7,10,13,20,21,18,18,17,20,20,17,11,191
27010840,PM,San Pablo,Santa Rosa de Osos,Antioquia,1900,"75°14'47.5""W","6°36'7.2""N",6,8,11,17,21,16,16,17,20,21,16,9,178
26225030,AM,Cotove Hda,Santafe de Antioquia,Antioquia,530,"75°49'38.6""W","6°32'2.1""N",5,7,10,15,19,16,15,15,18,19,14,9,163
26210130,PM,Guasabra,Santafe de Antioquia,Antioquia,2128,"75°57'21.0""W","6°30'12.0""N",5,5,8,11,15,11,10,9,12,15,13,7,121
27015190,CO,Guayabito,Santo Domingo,Antioquia,1700,"75°8'49.0""W","6°32'27.0""N",14,15,18,23,25,21,20,22,24,26,23,18,248
23080390,PG,Sto Domingo,Santo Domingo,Antioquia,1901,"75°9'49.7""W","6°28'5.9""N",12,11,17,22,23,18,18,20,21,23,21,14,221
27011100,PM,Brisas Las,Segovia,Antioquia,600,"74°49'18.6""W","7°9'31.7""N",7,8,8,13,17,15,15,15,17,18,17,11,161
27030140,PM,Palma de Coco La,Segovia,Antioquia,100,"74°48'28.6""W","7°14'10.0""N",6,6,7,13,16,14,14,16,15,17,14,10,148
23070010,PM,Claro de Luna,Sonson,Antioquia,180,"74°46'7.0""W","5°51'25.0""N",5,7,11,14,14,10,10,11,13,16,13,7,130
23075010,CP,Rio Claro,Sonson,Antioquia,449,"74°50'54.1""W","5°51'19.9""N",13,13,17,21,21,18,15,18,19,23,20,17,213
23050100,PM,San Miguel,Sonson,Antioquia,160,"74°43'34.0""W","5°43'51.0""N",8,9,13,18,17,13,12,13,16,20,16,11,165
26180180,PG,Sonson,Sonson,Antioquia,2402,"75°17'40.2""W","5°42'54.9""N",15,16,20,23,23,19,16,17,22,24,22,18,234
26175030,CP,Nacional Gja La,Tamesis,Antioquia,1151,"75°41'39.4""W","5°43'12.6""N",11,13,16,20,22,17,15,16,20,23,22,15,210
26250110,PM,Barro Blanco,Taraza,Antioquia,190,"75°15'51.8""W","7°28'26.8""N",6,6,8,15,18,17,18,19,17,20,18,10,171
26240170,PM,Playalta,Taraza,Antioquia,175,"75°26'54.8""W","7°33'45.2""N",8,7,9,16,21,18,19,19,19,19,17,10,180
26200120,PM,Otramina,Titiribi,Antioquia,1375,"75°47'40.5""W","6°4'22.6""N",7,8,11,15,17,14,12,14,17,18,16,9,158
26235030,CO,Matanzas,Toledo,Antioquia,500,"75°39'57.1""W","7°2'8.9""N",4,6,11,16,22,22,21,20,21,22,16,9,191
12010100,PM,Eupol,Turbo,Antioquia,4,"76°37'2.6""W","7°56'43.9""N",5,3,4,9,12,11,10,11,11,10,10,8,102
12010110,PM,Prado Mar,Turbo,Antioquia,38,"76°38'18.7""W","7°59'14.7""N",4,4,4,9,11,11,11,11,10,9,9,7,101
12020010,PM,Pueblo Bello,Turbo,Antioquia,79,"76°31'29.0""W","8°12'15.0""N",4,3,4,8,10,10,10,10,9,9,8,6,91
12010120,PM,Sta Martha,Turbo,Antioquia,64,"76°38'50.0""W","7°53'1.0""N",6,5,6,12,15,16,16,15,14,14,13,10,143
12010010,PM,Tormento El,Turbo,Antioquia,20,"76°51'19.0""W","7°45'59.0""N",9,9,9,16,18,17,18,18,17,15,15,14,177
12025040,CO,Turbo,Turbo,Antioquia,37,"76°42'58.8""W","8°5'30.5""N",5,5,7,13,17,15,16,17,15,14,14,10,147
11070130,PM,Brechon El,Urrao,Antioquia,2320,"76°2'0.0""W","6°8'0.0""N",8,10,12,18,21,16,13,16,19,21,18,12,183
11070030,PM,Clarita La,Urrao,Antioquia,2150,"76°9'31.0""W","6°32'22.0""N",13,12,16,21,21,16,14,16,19,23,22,16,208
11075010,CO,Honda La,Urrao,Antioquia,1850,"76°9'29.0""W","6°21'23.0""N",16,15,19,22,24,21,21,20,23,23,23,19,248
11070020,PM,Roble El,Urrao,Antioquia,2050,"76°13'43.0""W","6°19'56.0""N",13,12,14,19,22,18,17,18,21,24,22,17,217
11075020,CO,Urrao,Urrao,Antioquia,1850,"76°8'23.5""W","6°19'29.8""N",11,12,15,21,23,20,18,17,22,24,21,15,219
26250060,PM,Pto Raudal,Valdivia,Antioquia,125,"75°19'39.4""W","7°22'11.7""N",9,9,12,18,23,21,21,21,22,23,21,16,215
26240150,PM,Pto Valdivia,Valdivia,Antioquia,150,"75°23'47.5""W","7°17'9.7""N",8,9,11,17,20,20,21,20,20,21,18,11,197
26255020,CP,Sta Isabel,Valdivia,Antioquia,1200,"75°26'32.2""W","7°9'26.2""N",15,15,17,22,26,25,26,25,25,27,24,18,265
27020260,PM,Tesoro El,Valdivia,Antioquia,1000,"75°18'7.9""W","7°14'48.4""N",8,8,12,19,22,20,20,20,19,21,19,11,200
23100030,PM,Tigre El,Vegachi,Antioquia,994,"74°47'8.4""W","6°50'25.7""N",4,6,9,15,17,14,15,16,18,17,14,7,151
23105030,CO,Vegachi,Vegachi,Antioquia,995,"74°47'47.7""W","6°46'26.8""N",7,8,12,21,23,19,19,21,22,22,18,11,202
26200130,PM,Bolombolo,Venecia,Antioquia,604,"75°50'32.0""W","5°58'4.0""N",6,7,9,14,17,14,13,13,16,15,14,9,147
26205020,CP,Rosario El,Venecia,Antioquia,1600,"75°43'0.0""W","5°56'0.0""N",14,15,16,22,23,17,15,18,21,25,22,17,224
11060010,PM,Buchado,Vigia del Fuerte,Antioquia,18,"76°46'45.4""W","6°25'12.0""N",9,7,8,12,13,13,13,13,12,13,13,12,139
11070010,PM,Playa La-Murry,Vigia del Fuerte,Antioquia,22,"76°45'0.0""W","6°37'0.0""N",12,10,10,16,19,18,19,20,20,20,20,17,202
27020200,PG,Cedeno,Yarumal,Antioquia,2400,"75°21'20.1""W","7°4'14.6""N",10,13,14,21,25,22,22,22,22,25,21,15,231
27020220,PM,Llanos D Cuiba Los,Yarumal,Antioquia,2750,"75°29'1.9""W","6°48'49.0""N",6,9,13,18,22,17,19,18,19,21,16,11,190
