CODIGO,CAT,NOMBRE,MUNICIPIO,DEPARTAMENTO,ELEV,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
29035040,CP,Nueva Florida,Maria La Baja,Bolivar,13,"75°21'3.0""W","9°56'26.0""N",83,82,80,83,85,85,85,85,87,87,86,85,84
29035030,CO,Presa Ay Grande,Maria La Baja,Bolivar,60,"75°19'35.7""W","9°52'46.0""N",80,78,77,79,82,83,82,83,83,84,84,80,81
29035110,CO,San Pablo,Maria La Baja,Bolivar,20,"75°15'31.0""W","10°2'35.4""N",79,75,75,78,83,82,81,83,84,85,85,82,81
25025230,CO,Montecristo,Montecristo,Bolivar,100,"74°29'0.0""W","8°18'0.0""N",84,83,83,84,86,85,85,85,86,86,86,85,85
25025210,CO,Pinillos,Pinillos,Bolivar,10,"74°28'27.3""W","8°55'14.7""N",77,76,76,76,77,77,77,77,77,78,78,78,77
25025220,CO,Norosi,Rio Viejo,Bolivar,160,"74°3'0.0""W","8°32'0.0""N",75,73,73,76,80,80,78,79,81,82,81,78,78
23205020,CO,Col Cooperativo,San Pablo,Bolivar,165,"73°55'32.0""W","7°28'30.0""N",73,73,73,76,76,75,75,75,76,77,77,75,75
14015010,CP,Galerazamba,Santa Catalina,Bolivar,20,"75°15'42.0""W","10°47'41.5""N",84,83,82,84,84,84,85,85,85,86,86,85,84
23205050,CO,Canelos,Santa Rosa del Sur,Bolivar,750,"74°14'27.5""W","7°53'7.5""N",85,84,86,88,88,87,86,86,87,88,88,87,87
23205030,CO,Sta Rosa D Simiti,Santa Rosa del Sur,Bolivar,650,"74°3'33.0""W","7°57'55.0""N",73,71,74,82,85,84,83,84,85,86,85,79,81
25025020,CP,Monterrey Forestal,Zambrano,Bolivar,25,"74°50'6.0""W","9°44'7.0""N",73,73,74,76,80,80,78,79,81,82,82,79,78
24035020,CO,Beteitiva,Beteitiva,Boyaca,2575,"72°48'38.2""W","5°54'26.2""N",77,76,81,81,81,81,81,81,80,80,82,80,80
24035330,AM,Boavita,Boavita,Boyaca,2150,"72°34'43.6""W","6°19'34.3""N",71,71,73,79,81,79,77,75,77,80,80,77,77
23125100,CP,Buenavista,Buenavista,Boyaca,2200,"73°56'35.2""W","5°30'53.7""N",88,88,89,90,89,89,88,88,87,89,89,90,89
35085050,CO,Campohermoso,Campohermoso,Boyaca,1300,"73°6'13.2""W","5°2'4.2""N",84,83,85,87,88,89,90,88,87,86,86,85,86
24035310,CO,Chiscas,Chiscas,Boyaca,2350,"72°30'17.0""W","6°32'58.3""N",64,65,67,72,75,74,74,73,72,74,73,68,71
24035250,CO,Chita,Chita,Boyaca,2888,"72°27'58.8""W","6°11'18.0""N",72,71,73,77,79,79,80,79,78,79,81,77,77
37035010,CO,Tunebia,Cubara,Boyaca,370,"72°6'57.0""W","7°0'22.0""N",82,82,82,85,86,87,87,87,86,84,84,84,85
35095030,CO,Tunel El,Cuitiva,Boyaca,3000,"72°56'38.2""W","5°34'19.6""N",80,81,82,85,85,85,85,85,84,85,85,82,84
24025030,CP,Sierra La,Duitama,Boyaca,2700,"73°9'43.6""W","5°58'1.3""N",84,85,86,88,87,84,82,82,83,87,88,87,85
24035120,AM,Surbata Bonza,Duitama,Boyaca,2485,"73°4'28.1""W","5°48'8.8""N",74,74,76,78,80,79,78,79,78,81,79,76,78
24035070,CO,Guican,Guican,Boyaca,2963,"72°24'33.1""W","6°27'48.5""N",81,80,82,85,87,87,86,85,85,85,86,83,84
24035240,CO,Sierra Nevad Cocuy,Guican,Boyaca,3716,"72°22'18.2""W","6°24'26.0""N",84,84,84,85,85,85,86,86,86,86,86,85,85
24035010,CO,Cusagui,La Uvita,Boyaca,2950,"72°32'43.6""W","6°14'43.0""N",75,75,77,80,81,80,80,79,79,81,83,78,79
35075040,CP,Inst Agr Macanal,Macanal,Boyaca,1300,"73°19'0.1""W","4°56'27.8""N",84,83,85,88,90,91,92,90,88,88,88,87,88
